event_id,event_date,event_time,event_time_precision,state,district,subdistrict,village,locality,latitude,longitude,location_precision,landslide_type,trigger_reported,fatalities,houses_affected,road_affected,source_id,source_name,source_url,source_document,source_page,source_date,access_date,confidence,notes
NEI-2021-MN-001,2021-06-06,,DATE_ONLY,Manipur,Senapati,,,Between Tujang Waichong and Selsi Village,25.217562,93.820138,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),41,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Manipur/22; Source Slide No: 22; Card: card_22_p41_x315.png; Page: 41
NEI-2021-MN-002,2021-08-02,03:30:00,EXACT_TIME,Manipur,Tamenglong,,,Lamlenkon in Tujang Vaichong,25.241119,93.857702,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,0,,Imphal-Tamenglong Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),41,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Manipur/23; Source Slide No: 23; Card: card_23_p41_x316.png; Page: 41; Affected transit corridor: Imphal-Tamenglong Road; Reported timing: 3:30
NEI-2021-MN-003,2021-08-20,,DATE_ONLY,Manipur,Churachandpur,,,S Kholep village,24.503658,93.509375,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,Heng ep to Churachandpur road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),41,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Manipur/24; Source Slide No: 24; Card: card_24_p41_x317.png; Page: 41; Affected transit corridor: Heng ep to Churachandpur road
NEI-2021-MN-004,2021-08-16,,DATE_ONLY,Manipur,Tamenglong,,,5 km from Awang Khul Village away,24.826041,93.56119,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 37,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),41,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Manipur/25; Source Slide No: 25; Card: card_25_p41_x318.png; Page: 41; Affected transit corridor: NH 37
NEI-2021-MN-005,2021-06-24,,DATE_ONLY,Manipur,Tamenglong,,,Tamei Village,25.158298,93.677995,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,Imphal-Tamenglong Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),41,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Manipur/26; Source Slide No: 26; Card: card_26_p41_x319.png; Page: 41; Affected transit corridor: Imphal-Tamenglong Road
NEI-2021-MN-006,2021-06-07,,DATE_ONLY,Manipur,Tamenglong,,,Tamei Village,25.158298,93.677995,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,Imphal-Tamenglong Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),41,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online; Source Slide No: 27; Card: card_27_p41_x320.png; Page: 41; Affected transit corridor: Imphal-Tamenglong Road
NEI-2021-MN-007,2021-07-26,,DATE_ONLY,Manipur,Chandel,,,Chahmol Village,24.319566,94.160246,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,AH-I Moreh Road,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),42,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Manipur/28; Source Slide No: 28; Card: card_28_p42_x322.png; Page: 42; Affected transit corridor: AH-I Moreh Road
NEI-2021-MN-008,2021-07-19,14:50:00,EXACT_TIME,Manipur,Tamenglong,,,"8km towards Thingou, 15 km north from Nungba PS",24.818353,93.440246,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,3,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),42,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Manipur/29; Source Slide No: 29; Card: card_29_p42_x323.png; Page: 42; Reported timing: 14:50
NEI-2021-MN-009,2021-06-16,,DATE_ONLY,Manipur,Ukhrul,,,"Mini Secretariat Complex, Hamleikhong",25.091769,94.358421,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),42,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Manipur/30; Source Slide No: 30; Card: card_30_p42_x324.png; Page: 42
NEI-2021-MN-010,2021-07-19,,DATE_ONLY,Manipur,Tamenglong,,,Sibilong Temple,24.767366,93.332535,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,0,,Imphal-Jiribam Road (NH-37),SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),42,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Manipur/31; Source Slide No: 31; Card: card_31_p42_x325.png; Page: 42; Affected transit corridor: Imphal-Jiribam Road (NH-37)
NEI-2021-MN-011,2021-10-09,,DATE_ONLY,Manipur,Chandel,,,KhulmuIen-Sajik Road in Sajik Val ey,24.005219,93.915829,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),42,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Manipur/32; Source Slide No: 32; Card: card_32_p42_x326.png; Page: 42
NEI-2021-ML-001,2021-02-24,,DATE_ONLY,Meghalaya,East Khasi Hills,,,Sonapani Hydro-Electric Power Project,25.585545,91.86466,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),43,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/MeghaIaya/18; Source Slide No: 18; Card: card_33_p43_x328.png; Page: 43
NEI-2021-ML-002,2021-06-30,,DATE_ONLY,Meghalaya,West Garo Hills,,,Tura-Dalu stretch,25.499358,90.214668,EXACT_COORDINATE,Landslide (slope failure),Monsoonal rainfall,0,,NH 51,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),43,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/MeghaIaya/19; Source Slide No: 19; Card: card_34_p43_x329.png; Page: 43; Affected transit corridor: NH 51
